model,timeseries,sMAPE,MAPE,ShapeSimilarity,Grubbs
Arima,Y222,17.92,20.68,1464.28,0
Theta,Y222,30.44,30.53,2453.18,0
Prophet,Y222,34.83,28.52,2609.61,0
Last Value,Y223,7.6,7.04,4527.08,0
Mean Value,Y223,43.13,35.26,20867.35,0
Random Walk,Y223,9.22,8.25,5392.97,0
Arima,Y223,26.22,22.49,13654.88,0
Theta,Y223,33.94,28.7,17123.35,0
Prophet,Y223,14.65,13.36,7862.06,0
Last Value,Y224,7.34,6.98,3136.39,0
Mean Value,Y224,35.4,43.37,18444.13,0
Random Walk,Y224,10.35,11.45,4807.17,0
Arima,Y224,7.33,6.98,3135.58,0
Theta,Y224,54.52,75.88,32287.09,0
Prophet,Y224,41.2,52.23,22271.46,0
Last Value,Y225,5.75,5.81,3494.75,0
Mean Value,Y225,40.38,33.48,20779.9,0
Random Walk,Y225,9.25,9.88,4775.53,0
Arima,Y225,7.08,7.6,4245.35,0
Theta,Y225,59.78,45.56,28238.6,0
Prophet,Y225,75.22,54.62,33713.02,0
Last Value,Y226,6.05,5.77,433.09,0
Mean Value,Y226,17.07,15.6,1139.67,0
Random Walk,Y226,7.61,7.16,537.53,0
Arima,Y226,6.63,6.27,471.81,0
Theta,Y226,122.57,77.61,5678.43,0
Prophet,Y226,26.73,23.4,1702.67,0
Last Value,Y227,6.26,6.03,3781.35,0
Mean Value,Y227,30.94,26.7,16394.95,0
Random Walk,Y227,9.18,8.62,2768.34,0
Arima,Y227,6.16,5.94,3719.18,0
Theta,Y227,38.97,32.41,19674.08,0
Prophet,Y227,60.22,46.22,28246.28,0
Last Value,Y228,7.53,7.14,2008.34,0
Mean Value,Y228,74.07,118.21,31719.2,0
Random Walk,Y228,22.01,19.5,5162.22,0
Arima,Y228,23.12,27.58,7182.32,0
Theta,Y228,137.9,476.87,126774.06,0
Prophet,Y228,58.28,86.44,23137.49,0
Last Value,Y229,30.4,25.86,9377.31,0
Mean Value,Y229,45.9,61.21,20349.35,0
Random Walk,Y229,105.13,115.71,41038.43,0
Arima,Y229,12.35,13.47,3104.66,0
Theta,Y229,135.62,443.83,158263.06,0
Prophet,Y229,61.95,92.26,30874.86,0
Last Value,Y230,20.82,18.58,7214.09,0
Mean Value,Y230,21.44,24.54,8875.99,0
Random Walk,Y230,86.03,55.88,21764.15,0
Arima,Y230,18.56,16.73,6509.31,0
Theta,Y230,87.99,67.42,25733.23,0
Prophet,Y230,37.04,46.11,16926.65,0
Last Value,Y231,6.46,6.16,464.26,0
Mean Value,Y231,15.46,14.19,1046.04,0
Random Walk,Y231,8.18,8.75,639.07,0
Arima,Y231,6.1,5.85,439.12,0
Theta,Y231,14.9,13.76,758.26,0
Prophet,Y231,39.78,33.06,2398.99,0
Last Value,Y232,20.93,18.48,7080.59,0
Mean Value,Y232,22.72,19.95,7605.9,0
Random Walk,Y232,24.9,21.51,8233.6,0
Arima,Y232,19.58,17.36,6679.82,0
Theta,Y232,41.68,34.33,12656.18,0
Prophet,Y232,64.58,48.63,17830.87,0
Last Value,Y233,3.1,3.11,1170.33,0
Mean Value,Y233,3.86,3.96,1462.87,0
Random Walk,Y233,2.76,2.8,851.46,0
Arima,Y233,3.16,3.2,1192.62,0
Theta,Y233,11.55,12.29,4613.35,0
Prophet,Y233,7.8,8.19,3035.73,0
Last Value,Y234,7.28,6.88,4499.42,0
Mean Value,Y234,16.72,15.3,9763.63,0
Random Walk,Y234,12.21,11.26,7278.23,0
Arima,Y234,6.4,6.1,3981.11,0
Theta,Y234,20.03,23.69,14722.47,0
Prophet,Y234,28.49,24.82,15713.87,0
Last Value,Y235,2.97,2.95,1336.42,0
Mean Value,Y235,5.63,5.8,2551.18,0
Random Walk,Y235,8.89,9.28,4164.83,0
Arima,Y235,3.47,3.49,1559.41,0
Theta,Y235,59.97,88.28,39521.88,0
Prophet,Y235,3.28,3.31,1471.98,0
Last Value,Y236,13.78,12.56,6697.86,0
Mean Value,Y236,27.73,23.92,12394.94,0
Random Walk,Y236,24.45,21.23,11135.58,0
Arima,Y236,13.78,12.56,6698.2,0
Theta,Y236,54.15,39.03,20701.64,0
Prophet,Y236,9.97,10.23,4903.98,0
Last Value,Y237,8.39,7.96,3839.53,0
Mean Value,Y237,36.48,30.73,14465.01,0
Random Walk,Y237,6.78,6.86,1902.88,0
Arima,Y237,10.58,9.86,4501.29,0
Theta,Y237,46.58,37.1,17492.7,0
Prophet,Y237,58.51,45.23,21155.8,0
Last Value,Y238,11.61,10.88,2848.64,0
Mean Value,Y238,14.49,15.76,3985.5,0
Random Walk,Y238,9.28,8.72,2207.29,0
Arima,Y238,10.03,9.45,2482.62,0
Theta,Y238,62.94,92.04,23570.3,0
Prophet,Y238,38.63,48.11,12275.77,0
Last Value,Y239,10.31,9.63,2248.35,0
Mean Value,Y239,30.66,26.45,6008.36,0
Random Walk,Y239,8.06,7.76,1283.68,0
Arima,Y239,10.55,9.84,2296.74,0
Theta,Y239,26.99,23.63,5379.8,0
Prophet,Y239,34.97,29.64,6720.06,0
Last Value,Y240,7.68,7.38,1762.15,0
Mean Value,Y240,99.53,66.46,15793.39,0
Random Walk,Y240,5.08,5.06,1085.25,0
Arima,Y240,8.71,9.24,1826.99,0
Theta,Y240,108.59,70.14,16661.1,0
Prophet,Y240,50.53,38.87,9230.34,0
Last Value,Y241,34.5,29.01,16831.3,0
Mean Value,Y241,143.97,83.68,47127.67,0
Random Walk,Y241,66.57,47.69,27968.54,0
Arima,Y241,15.58,14.4,5853.1,0
Theta,Y241,191.05,97.71,54898.36,0
Prophet,Y241,88.35,59.49,33978.33,0
Last Value,Y242,6.63,6.67,1024.02,0
Mean Value,Y242,28.35,24.66,3914.76,0
Random Walk,Y242,9.94,9.48,1502.65,0
Arima,Y242,6.73,6.75,1039.75,0
Theta,Y242,71.36,51.47,8135.77,0
Prophet,Y242,14.82,13.28,1884.19,0
Last Value,Y243,1.99,2.01,470.41,0
Mean Value,Y243,1.98,2.01,469.86,0
Random Walk,Y243,11.75,12.64,2989.82,0
Arima,Y243,3.14,3.2,750.82,0
Theta,Y243,42.09,53.34,12552.21,0
Prophet,Y243,37.34,45.91,10808.44,0
Last Value,Y244,14.86,13.71,18192.68,0
Mean Value,Y244,109.88,70.9,92468.55,0
Random Walk,Y244,25.95,22.2,29643.85,0
Arima,Y244,2.36,2.36,2298.92,0
Theta,Y244,189.19,97.22,126637.88,0
Prophet,Y244,168.0,91.23,118806.46,0
Last Value,Y245,20.93,18.87,20181.36,0
Mean Value,Y245,103.04,67.99,72143.66,0
Random Walk,Y245,26.46,22.85,24434.47,0
Arima,Y245,9.85,9.32,8213.36,0
Theta,Y245,178.51,94.32,99970.07,0
Prophet,Y245,72.65,53.27,56553.23,0
Last Value,Y246,31.41,26.35,20837.2,0
Mean Value,Y246,104.55,68.47,51109.88,0
Random Walk,Y246,44.44,34.89,27544.07,0
Arima,Y246,34.41,28.59,22454.27,0
Theta,Y246,172.44,92.6,68326.44,0
Prophet,Y246,91.5,62.53,46828.91,0
Last Value,Y247,24.21,21.01,14831.13,0
Mean Value,Y247,128.33,78.11,52162.6,0
Random Walk,Y247,45.26,35.27,24666.55,0
Arima,Y247,8.31,7.88,4104.91,0
Theta,Y247,193.28,98.29,65338.56,0
Prophet,Y247,174.98,93.26,62065.82,0
Last Value,Y248,43.06,34.11,21529.54,0
Mean Value,Y248,119.4,74.5,43767.76,0
Random Walk,Y248,62.94,45.5,28551.42,0
Arima,Y248,44.07,34.84,21913.99,0
Theta,Y248,190.08,97.46,56360.02,0
Prophet,Y248,175.52,93.44,54177.26,0
Last Value,Y249,35.93,29.83,44419.54,0
Mean Value,Y249,110.37,70.97,101676.42,0
Random Walk,Y249,43.72,34.55,51890.01,0
Arima,Y249,7.95,7.47,6833.3,0
Theta,Y249,188.13,96.94,137710.27,0
Prophet,Y249,119.44,73.83,106686.97,0
Last Value,Y250,24.22,21.19,6751.54,0
Mean Value,Y250,100.17,66.64,20479.9,0
Random Walk,Y250,25.81,22.25,5722.63,0
Arima,Y250,16.88,15.33,4363.77,0
Theta,Y250,180.61,94.9,28995.76,0
Prophet,Y250,93.37,62.38,19295.53,0
Last Value,Y251,35.99,29.76,8520.91,0
Mean Value,Y251,131.48,79.24,21548.13,0
Random Walk,Y251,31.08,26.33,7534.01,0
Arima,Y251,12.8,11.89,2431.95,0
Theta,Y251,192.36,98.05,26499.54,0
Prophet,Y251,101.62,65.99,18168.45,0
Last Value,Y252,15.01,13.88,11583.8,0
Mean Value,Y252,117.92,74.17,61139.09,0
Random Walk,Y252,32.84,27.61,23092.26,0
Arima,Y252,3.21,3.23,1967.51,0
Theta,Y252,187.29,96.72,79652.34,0
Prophet,Y252,166.44,90.76,74723.31,0
Last Value,Y253,18.33,16.67,13541.97,0
Mean Value,Y253,90.05,62.06,49703.85,0
Random Walk,Y253,29.4,25.28,20442.08,0
Arima,Y253,3.47,3.43,2489.46,0
Theta,Y253,142.19,83.05,66288.99,0
Prophet,Y253,75.24,54.63,43778.07,0
Last Value,Y254,1.59,1.6,963.89,0
Mean Value,Y254,2.27,2.24,1355.87,0
Random Walk,Y254,2.43,2.47,1487.41,0
Arima,Y254,1.57,1.59,956.79,0
Theta,Y254,1.68,1.67,1006.84,0
Prophet,Y254,4.16,4.07,2455.38,0
Last Value,Y255,0.27,0.27,156.26,0
Mean Value,Y255,1.72,1.71,980.06,0
Random Walk,Y255,3.76,3.67,2103.73,0
Arima,Y255,0.41,0.41,233.93,0
Theta,Y255,6.19,5.93,3402.38,0
Prophet,Y255,4.91,5.04,2889.08,0
Last Value,Y256,3.2,3.22,1916.68,0
Mean Value,Y256,4.01,3.93,2397.08,0
Random Walk,Y256,3.91,3.95,2347.72,0
Arima,Y256,3.3,3.33,1977.13,0
Theta,Y256,15.31,14.14,8555.42,0
Prophet,Y256,16.58,15.26,9206.93,0
Last Value,Y257,6.01,5.91,3097.51,0
Mean Value,Y257,15.54,17.13,8466.85,0
Random Walk,Y257,4.55,4.61,2328.66,0
Arima,Y257,6.57,6.57,3384.89,0
Theta,Y257,14.9,16.4,8082.68,0
Prophet,Y257,11.09,11.97,4893.46,0
Last Value,Y258,7.45,7.11,2078.68,0
Mean Value,Y258,38.08,31.94,9171.6,0
Random Walk,Y258,6.85,6.53,1868.59,0
Arima,Y258,6.8,6.5,1903.51,0
Theta,Y258,57.26,44.45,12749.18,0
Prophet,Y258,35.97,30.45,8741.7,0
Last Value,Y259,9.12,8.62,4137.97,0
Mean Value,Y259,46.51,37.68,17717.65,0
Random Walk,Y259,7.36,6.86,2071.52,0
Arima,Y259,6.08,5.84,2718.38,0
Theta,Y259,123.46,76.34,35768.13,0
Prophet,Y259,103.64,68.22,31997.17,0
Last Value,Y260,4.75,4.69,2846.39,0
Mean Value,Y260,81.02,57.62,34395.79,0
Random Walk,Y260,8.71,9.45,4779.98,0
Arima,Y260,8.22,8.85,4915.33,0
Theta,Y260,168.59,91.47,54488.87,0
Prophet,Y260,68.81,49.25,29884.09,0
Last Value,Y261,3.84,3.75,842.09,0
Mean Value,Y261,52.73,41.72,9308.61,0
Random Walk,Y261,5.7,5.65,1075.3,0
Arima,Y261,1.79,1.79,321.69,0
Theta,Y261,96.6,65.09,14519.0,0
Prophet,Y261,86.15,60.19,13418.33,0
Last Value,Y262,7.6,7.16,975.69,0
Mean Value,Y262,27.39,32.0,4102.34,0
Random Walk,Y262,24.79,20.75,2657.11,0
Arima,Y262,8.22,7.74,1049.87,0
Theta,Y262,78.19,128.65,16671.63,0
Prophet,Y262,35.86,43.99,5657.0,0
Last Value,Y263,24.9,21.84,12606.07,0
Mean Value,Y263,77.78,55.88,31502.97,0
Random Walk,Y263,7.42,7.09,2257.93,0
Arima,Y263,24.11,21.23,12253.78,0
Theta,Y263,125.54,77.13,43207.55,0
Prophet,Y263,129.49,78.55,44101.83,0
Last Value,Y264,6.87,6.55,1357.4,0
Mean Value,Y264,65.1,49.08,9919.41,0
Random Walk,Y264,6.95,6.66,1176.81,0
Arima,Y264,3.65,3.58,739.5,0
Theta,Y264,123.25,76.18,15376.71,0
Prophet,Y264,107.13,69.75,14059.07,0
Last Value,Y265,3.17,3.11,818.36,0
Mean Value,Y265,30.74,26.62,6933.42,0
Random Walk,Y265,11.78,11.02,2584.4,0
Arima,Y265,3.14,3.09,812.92,0
Theta,Y265,77.09,55.64,14463.97,0
Prophet,Y265,38.67,32.13,8364.73,0
Last Value,Y266,5.22,5.0,371.32,0
Mean Value,Y266,6.03,6.27,430.82,0
Random Walk,Y266,2.29,2.3,125.66,0
Arima,Y266,4.67,4.54,332.81,0
Theta,Y266,33.05,27.09,1978.82,0
Prophet,Y266,5.99,5.67,409.57,0
Last Value,Y267,10.51,9.93,2129.0,0
Mean Value,Y267,25.86,22.86,4864.09,0
Random Walk,Y267,5.37,5.21,892.92,0
Arima,Y267,10.9,10.28,2203.8,0
Theta,Y267,40.45,33.61,7138.25,0
Prophet,Y267,46.76,37.87,8037.55,0
Last Value,Y268,10.14,9.59,1451.7,0
Mean Value,Y268,56.49,44.02,6586.12,0
Random Walk,Y268,3.87,3.76,433.75,0
Arima,Y268,8.2,7.82,1186.3,0
Theta,Y268,121.57,75.59,11279.98,0
Prophet,Y268,104.5,68.59,10247.95,0
Last Value,Y269,9.01,8.55,6952.67,0
Mean Value,Y269,56.82,44.17,35150.12,0
Random Walk,Y269,8.02,7.63,5945.14,0
Arima,Y269,8.81,8.37,6805.05,0
Theta,Y269,107.62,69.95,55485.14,0
Prophet,Y269,51.71,40.3,32316.4,0
Last Value,Y270,4.43,4.31,1888.21,0
Mean Value,Y270,26.77,30.95,13360.22,0
Random Walk,Y270,7.56,7.85,3399.62,0
Arima,Y270,5.53,5.36,2339.35,0
Theta,Y270,45.65,59.49,25663.44,0
Prophet,Y270,22.83,26.01,11262.45,0
Last Value,Y271,21.17,18.78,3704.12,0
Mean Value,Y271,31.76,27.1,5263.24,0
Random Walk,Y271,24.74,21.63,4228.59,0
Arima,Y271,19.85,17.67,3498.74,0
Theta,Y271,51.35,40.74,7790.42,0
Prophet,Y271,48.5,38.8,7455.84,0
Last Value,Y272,8.35,7.98,1032.03,0
Mean Value,Y272,56.17,43.84,5619.04,0
Random Walk,Y272,3.99,4.12,531.24,0
Arima,Y272,8.39,8.01,1036.45,0
Theta,Y272,135.92,80.92,10360.67,0
Prophet,Y272,47.02,38.05,4878.26,0
Last Value,Y273,10.19,9.61,6618.46,0
Mean Value,Y273,84.96,59.61,40378.79,0
Random Walk,Y273,24.85,21.64,14852.87,0
Arima,Y273,3.32,3.25,1627.35,0
Theta,Y273,155.52,87.49,59193.89,0
Prophet,Y273,154.38,87.12,58950.63,0
Last Value,Y274,9.2,8.71,2496.55,0
Mean Value,Y274,23.83,21.21,5999.75,0
Random Walk,Y274,14.43,13.25,3796.47,0
Arima,Y274,9.05,8.59,2459.33,0
Theta,Y274,56.52,43.97,12384.6,0
Prophet,Y274,25.12,22.18,6285.24,0
Last Value,Y275,9.17,8.63,5645.97,0
Mean Value,Y275,44.72,36.47,23222.05,0
Random Walk,Y275,3.39,3.27,2166.78,0
Arima,Y275,9.21,8.67,5668.67,0
Theta,Y275,65.54,49.31,31329.17,0
Prophet,Y275,51.55,40.81,25990.48,0
Last Value,Y276,16.55,15.04,14158.94,0
Mean Value,Y276,53.49,42.07,38571.56,0
Random Walk,Y276,33.0,27.19,25720.45,0
Arima,Y276,11.39,10.57,9996.63,0
Theta,Y276,68.56,51.05,46360.06,0
Prophet,Y276,53.78,42.25,38732.07,0
Last Value,Y277,17.43,15.85,7870.18,0
Mean Value,Y277,24.57,21.72,10703.54,0
Random Walk,Y277,29.48,24.99,12458.96,0
Arima,Y277,17.66,16.05,7965.69,0
Theta,Y277,38.55,31.72,15673.96,0
Prophet,Y277,52.89,41.5,20347.21,0
Last Value,Y278,21.99,19.61,2474.42,0
Mean Value,Y278,48.67,39.01,4852.77,0
Random Walk,Y278,30.75,26.05,3306.57,0
Arima,Y278,20.42,18.32,2315.95,0
Theta,Y278,55.1,43.14,5347.45,0
Prophet,Y278,43.79,35.79,4456.79,0
Last Value,Y279,12.36,11.52,1767.65,0
Mean Value,Y279,37.11,31.22,4713.71,0
Random Walk,Y279,9.67,9.15,1267.07,0
Arima,Y279,3.85,3.7,516.3,0
Theta,Y279,90.37,61.07,9220.3,0
Prophet,Y279,5.84,5.58,608.88,0
Last Value,Y280,13.97,12.97,7517.55,0
Mean Value,Y280,11.07,10.4,6052.09,0
Random Walk,Y280,19.28,17.4,10060.03,0
Arima,Y280,12.33,11.52,6692.39,0
Theta,Y280,34.61,29.25,16774.23,0
Prophet,Y280,25.8,22.79,13104.51,0
Last Value,Y281,18.3,16.51,5711.92,0
Mean Value,Y281,60.56,46.36,15650.91,0
Random Walk,Y281,13.0,12.1,2926.19,0
Arima,Y281,19.6,17.58,6074.6,0
Theta,Y281,153.16,86.54,29117.2,0
Prophet,Y281,15.47,16.87,4973.47,0
Last Value,Y282,1.31,1.32,299.32,0
Mean Value,Y282,18.06,19.87,4541.46,0
Random Walk,Y282,15.81,14.3,3301.21,0
Arima,Y282,1.67,1.67,381.3,0
Theta,Y282,92.28,58.18,13398.62,0
Prophet,Y282,28.06,24.4,5581.14,0
Last Value,Y283,16.34,15.0,2056.74,0
Mean Value,Y283,34.61,29.42,3998.57,0
Random Walk,Y283,15.22,14.05,1924.48,0
Arima,Y283,12.59,11.76,1616.15,0
Theta,Y283,100.93,64.48,8815.17,0
Prophet,Y283,13.58,12.67,1657.17,0
Last Value,Y284,1.67,1.68,98.78,0
Mean Value,Y284,6.43,6.66,391.48,0
Random Walk,Y284,17.54,15.55,914.55,0
Arima,Y284,1.95,1.94,115.02,0
Theta,Y284,40.8,33.32,1975.02,0
Prophet,Y284,46.02,37.38,2211.07,0
Last Value,Y285,6.53,6.85,977.68,0
Mean Value,Y285,63.52,48.17,7092.57,0
Random Walk,Y285,11.54,11.26,1509.83,0
Arima,Y285,13.29,14.58,2088.3,0
Theta,Y285,148.57,85.23,12531.76,0
Prophet,Y285,108.94,70.43,10355.53,0
Last Value,Y286,25.17,21.66,3991.96,0
Mean Value,Y286,80.34,57.05,9957.74,0
Random Walk,Y286,11.44,10.63,1953.28,0
Arima,Y286,10.38,9.61,1716.69,0
Theta,Y286,130.99,79.14,13628.39,0
Prophet,Y286,110.48,71.03,12310.23,0
Last Value,Y287,25.35,22.07,12512.95,0
Mean Value,Y287,11.67,12.49,6390.38,0
Random Walk,Y287,8.68,8.42,4625.87,0
Arima,Y287,24.98,21.78,12357.47,0
Theta,Y287,20.64,19.38,10796.99,0
Prophet,Y287,40.29,33.12,18488.19,0
Last Value,Y288,27.21,23.48,8893.26,0
Mean Value,Y288,58.64,45.06,16611.03,0
Random Walk,Y288,17.35,15.77,5263.43,0
Arima,Y288,24.82,21.58,8218.09,0
Theta,Y288,65.37,49.11,18005.9,0
Prophet,Y288,62.43,47.32,17415.49,0
Last Value,Y289,9.8,9.3,5015.24,0
Mean Value,Y289,36.17,30.61,16395.67,0
Random Walk,Y289,14.79,13.64,7367.45,0
Arima,Y289,10.12,9.59,5169.99,0
Theta,Y289,55.99,43.69,23403.96,0
Prophet,Y289,65.52,49.33,26402.33,0
Last Value,Y290,18.14,16.45,10152.42,0
Mean Value,Y290,53.98,42.41,25745.58,0
Random Walk,Y290,28.49,24.0,14896.47,0
Arima,Y290,7.92,7.57,3430.5,0
Theta,Y290,99.04,66.22,39941.87,0
Prophet,Y290,65.2,49.1,29755.9,0
Last Value,Y291,3.85,3.76,844.06,0
Mean Value,Y291,52.69,41.7,9302.72,0
Random Walk,Y291,11.42,10.66,2381.37,0
Arima,Y291,1.79,1.79,320.21,0
Theta,Y291,96.57,65.08,14516.84,0
Prophet,Y291,85.91,60.07,13393.12,0
Last Value,Y292,12.16,11.38,8235.9,0
Mean Value,Y292,76.97,55.55,39678.91,0
Random Walk,Y292,16.27,14.74,10712.34,0
Arima,Y292,5.33,5.17,2546.28,0
Theta,Y292,110.4,71.13,50746.81,0
Prophet,Y292,105.09,68.88,49158.13,0
Last Value,Y293,35.97,29.65,10871.42,0
Mean Value,Y293,139.15,81.98,28345.98,0
Random Walk,Y293,42.8,33.94,12482.72,0
Arima,Y293,12.83,11.87,3164.41,0
Theta,Y293,181.56,95.17,32722.6,0
Prophet,Y293,95.37,62.88,22153.95,0
Last Value,Y294,2.62,2.57,493.79,0
Mean Value,Y294,50.42,40.26,7650.73,0
Random Walk,Y294,8.65,8.18,1566.6,0
Arima,Y294,2.58,2.65,498.13,0
Theta,Y294,116.34,73.52,13966.56,0
Prophet,Y294,94.42,64.12,12173.33,0
Last Value,Y295,5.8,5.58,2757.63,0
Mean Value,Y295,19.07,21.17,10169.45,0
Random Walk,Y295,5.21,5.19,1877.55,0
Arima,Y295,5.79,5.57,2755.52,0
Theta,Y295,35.68,29.04,14241.04,0
Prophet,Y295,8.23,7.74,2924.75,0
Last Value,Y296,9.26,8.83,2308.56,0
Mean Value,Y296,30.63,26.54,6909.71,0
Random Walk,Y296,14.06,12.83,3314.04,0
Arima,Y296,7.65,7.35,1922.71,0
Theta,Y296,159.44,92.57,24164.46,0
Prophet,Y296,36.46,30.82,8018.76,0
Last Value,Y297,4.67,4.52,326.08,0
Mean Value,Y297,9.2,8.76,625.7,0
Random Walk,Y297,3.65,3.56,197.8,0
Arima,Y297,5.56,5.37,386.39,0
Theta,Y297,22.64,27.03,1854.53,0
Prophet,Y297,10.84,10.25,730.82,0
Last Value,Y298,10.2,9.62,6625.95,0
Mean Value,Y298,84.7,59.48,40296.04,0
Random Walk,Y298,4.22,4.12,1790.21,0
Arima,Y298,3.3,3.23,1622.27,0
Theta,Y298,154.9,87.29,59070.61,0
Prophet,Y298,154.17,87.05,58915.38,0
Last Value,Y299,21.64,19.45,12245.55,0
Mean Value,Y299,16.11,14.83,9363.69,0
Random Walk,Y299,39.92,32.33,20492.04,0
Arima,Y299,19.3,17.51,11039.43,0
Theta,Y299,28.21,24.7,15457.04,0
Prophet,Y299,44.21,36.15,22644.6,0
Last Value,Y300,11.01,10.34,4754.29,0
Mean Value,Y300,91.23,62.63,28317.7,0
Random Walk,Y300,11.7,10.72,4790.78,0
Arima,Y300,3.49,3.4,1313.17,0
Theta,Y300,163.54,89.93,40651.79,0
Prophet,Y300,139.34,82.07,37063.1,0
Last Value,Y301,12.04,11.31,6889.61,0
Mean Value,Y301,63.45,48.15,29117.57,0
Random Walk,Y301,7.03,6.94,3229.91,0
Arima,Y301,7.6,7.28,4099.27,0
Theta,Y301,91.48,62.39,37623.54,0
Prophet,Y301,94.73,64.27,38814.93,0
Last Value,Y302,21.61,19.12,12113.62,0
Mean Value,Y302,49.44,39.4,24287.06,0
Random Walk,Y302,23.83,20.79,13142.79,0
Arima,Y302,19.82,17.65,11226.24,0
Theta,Y302,36.62,30.78,17838.22,0
Prophet,Y302,63.63,48.08,29490.99,0
Last Value,Y303,21.54,18.78,1607.23,0
Mean Value,Y303,14.55,13.97,1127.27,0
Random Walk,Y303,34.05,28.05,2351.98,0
Arima,Y303,20.78,18.15,1558.07,0
Theta,Y303,16.92,18.67,1087.28,0
Prophet,Y303,14.14,16.23,1071.12,0
Last Value,Y304,6.93,6.6,1983.75,0
Mean Value,Y304,26.67,23.43,6861.39,0
Random Walk,Y304,6.84,6.74,1348.12,0
Arima,Y304,6.11,5.84,1758.8,0
Theta,Y304,50.41,40.13,11668.31,0
Prophet,Y304,18.7,17.0,4995.93,0
Last Value,Y305,8.91,8.32,991.02,0
Mean Value,Y305,7.41,7.82,839.71,0
Random Walk,Y305,13.29,12.1,1431.31,0
Arima,Y305,9.24,8.61,1025.14,0
Theta,Y305,44.41,35.72,4112.69,0
Prophet,Y305,22.87,20.27,2342.42,0
Last Value,Y306,11.68,10.91,5589.28,0
Mean Value,Y306,40.6,33.67,16944.84,0
Random Walk,Y306,11.57,10.55,5478.57,0
Arima,Y306,11.58,10.82,5546.22,0
Theta,Y306,116.2,73.49,36804.48,0
Prophet,Y306,67.1,49.89,25105.11,0
Last Value,Y307,10.68,10.04,2204.45,0
Mean Value,Y307,21.62,19.42,4219.48,0
Random Walk,Y307,7.48,7.12,852.17,0
Arima,Y307,7.95,7.57,1630.57,0
Theta,Y307,108.43,65.55,14438.23,0
Prophet,Y307,19.32,17.53,3812.24,0
Last Value,Y308,4.03,3.93,608.54,0
Mean Value,Y308,26.63,23.47,3585.68,0
Random Walk,Y308,5.04,4.76,746.77,0
Arima,Y308,3.2,3.17,422.83,0
Theta,Y308,68.76,51.01,7780.42,0
Prophet,Y308,24.55,21.84,3336.87,0
Last Value,Y309,13.44,12.54,3316.19,0
Mean Value,Y309,22.76,20.39,5369.36,0
Random Walk,Y309,4.32,4.17,1008.14,0
Arima,Y309,18.23,16.65,4392.0,0
Theta,Y309,105.94,66.12,17601.87,0
Prophet,Y309,62.53,47.44,12473.6,0
Last Value,Y310,22.64,19.81,6362.25,0
Mean Value,Y310,29.74,25.42,8030.6,0
Random Walk,Y310,12.12,11.19,2948.36,0
Arima,Y310,20.6,18.14,5860.81,0
Theta,Y310,54.1,42.41,12934.4,0
Prophet,Y310,68.35,50.7,15555.63,0
Last Value,Y311,1.51,1.52,432.25,0
Mean Value,Y311,24.78,22.04,6301.68,0
Random Walk,Y311,5.2,5.04,1442.66,0
Arima,Y311,1.51,1.51,431.93,0
Theta,Y311,78.04,56.14,16037.95,0
Prophet,Y311,55.0,43.1,12320.78,0
Last Value,Y312,13.19,12.23,1207.02,0
Mean Value,Y312,6.2,6.39,602.03,0
Random Walk,Y312,10.97,10.47,756.54,0
Arima,Y312,12.44,11.56,1143.7,0
Theta,Y312,14.87,16.79,1529.94,0
Prophet,Y312,41.51,34.04,3304.04,0
Last Value,Y313,19.67,17.57,2698.71,0
Mean Value,Y313,23.23,20.49,3126.19,0
Random Walk,Y313,10.9,10.1,955.16,0
Arima,Y313,14.86,13.59,1998.91,0
Theta,Y313,43.29,35.56,5270.24,0
Prophet,Y313,53.51,42.0,6271.76,0
Last Value,Y314,9.2,8.57,1024.61,0
Mean Value,Y314,7.02,7.24,793.13,0
Random Walk,Y314,33.69,27.72,3231.87,0
Arima,Y314,9.35,8.7,1039.59,0
Theta,Y314,50.46,39.59,4562.33,0
Prophet,Y314,25.1,22.05,2548.32,0
Last Value,Y315,1.21,1.22,154.79,0
Mean Value,Y315,40.21,50.35,6410.42,0
Random Walk,Y315,13.58,15.38,1917.28,0
Arima,Y315,1.49,1.47,121.31,0
Theta,Y315,69.43,110.72,14096.92,0
Prophet,Y315,54.87,75.7,9639.21,0
Last Value,Y316,4.06,4.16,429.41,0
Mean Value,Y316,28.19,32.84,3408.5,0
Random Walk,Y316,2.73,2.77,233.04,0
Arima,Y316,4.79,4.92,508.85,0
Theta,Y316,12.23,13.3,1292.23,0
Prophet,Y316,8.21,8.59,889.26,0
Last Value,Y317,21.27,18.64,12602.66,0
Mean Value,Y317,63.36,47.83,30696.22,0
Random Walk,Y317,29.37,24.66,16464.96,0
Arima,Y317,8.57,8.89,3635.24,0
Theta,Y317,112.58,72.01,45530.18,0
Prophet,Y317,67.33,50.11,32106.85,0
Last Value,Y318,4.83,4.69,810.33,0
Mean Value,Y318,10.07,10.64,1806.84,0
Random Walk,Y318,6.08,5.86,756.2,0
Arima,Y318,4.8,4.66,805.27,0
Theta,Y318,10.38,9.72,1677.31,0
Prophet,Y318,2.74,2.79,470.17,0
Last Value,Y319,48.79,38.26,13813.37,0
Mean Value,Y319,66.35,49.12,17372.57,0
Random Walk,Y319,47.13,37.35,13420.31,0
Arima,Y319,50.44,39.38,14165.8,0
Theta,Y319,49.95,39.44,14001.95,0
